"Data generated on Friday, December 23, 2022 at 1:07:23 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1","","Horticultural Products","468,499","479,234","498,922","495,194","612,329","512,911","493,984","-4","26","MX","0400GR",
"1","NOGALES, ARIZ.","1","Mexico","1.1","","Fruits and Preparations","401,036","414,704","405,723","361,298","452,115","376,993","328,433","-13","26","MX","0700AG",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1","","Fresh Fruits, Decidi","372,899","382,091","370,534","319,107","389,918","319,791","294,995","-8","26","MX","0705AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.1","0808100050","APPLES FRESH","165,597","201,139","137,488","128,901","167,297","142,323","123,396","-13","26","MX","0808100050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.2","0806100050","GRAPES FRESH","67,101","55,014","54,472","79,206","64,726","42,581","57,963","36","26","MX","0806100050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.3","0808300050","PEARS, FRESH","43,832","53,286","51,846","36,471","37,541","30,967","25,483","-18","26","MX","0808300050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.4","0808100010","ORG APPLES FRESH","45,293","12,179","56,190","36,923","35,917","30,544","32,516","6","26","MX","0808100010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.5","0809309000","PEACH,NCTR NESOI","13,548","17,689","14,972","13,804","25,959","25,959","21,849","-16","26","MX","0809309000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.6","0806100010","ORG GRAPES FRESH","6,324","11,740","22,295","7,649","19,567","10,609","9,609","-9","26","MX","0806100010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.7","0809301000","ORG PEACH,NCTR","8,625","8,999","9,595","1,405","13,071","13,034","6,644","-49","26","MX","0809301000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.8","0808300010","ORG PEARS","8,264","7,393","12,256","8,226","9,115","7,518","10,345","38","26","MX","0808300010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.9","0809290050","CHER N/SR FR","4,099","4,002","2,206","2,238","8,296","8,296","3,359","-60","26","MX","0809290050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.10","0809400000","PLUMS,PRUNE,SL,F","5,838","7,516","5,859","2,541","4,431","3,962","2,298","-42","26","MX","0809400000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.11","0809290010","ORG CHER N/SR FR","816","246","924","115","1,706","1,706","556","-67","26","MX","0809290010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.12","0809100000","APRICOTS, FRESH","2,675","1,596","1,004","976","1,519","1,519","681","-55","26","MX","0809100000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.13","0809210000","SOUR CHERRY, FR","887","1,290","1,428","636","773","773","297","-62","26","MX","0809210000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.14","0808400000","QUINCES, FRESH","0","0","0","16","0","0","0","","26","MX","0808400000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.2","","Fruit, Dried","1,149","1,662","16,120","27,770","45,511","42,469","16,792","-60","26","MX","0735AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.2.1","0804100000","DATES,FRSH/DRIED","984","1,662","14,693","25,542","44,497","41,742","12,395","-70","26","MX","0804100000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.2.2","0806200000","GRAPE DR,RAISINS","68","0","752","895","891","690","558","-19","26","MX","0806200000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.2.3","0813200000","PRUNES, DRIED","26","0","0","679","85","0","3,839","","26","MX","0813200000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.2.4","0813300000","APPLES, DRIED","0","0","675","654","37","37","0","","26","MX","0813300000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.2.5","0804200000","FIGS,FRESH/DRIED","71","0","0","0","0","0","0","","26","MX","0804200000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3","","Fresh Fruit, Other","22,455","26,269","14,305","10,869","11,624","9,710","9,973","3","26","MX","0710AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.1","0810500000","KIWIFRUIT,FRESH","7,516","6,120","7,174","4,670","4,704","3,494","2,726","-22","26","MX","0810500000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.2","0810100050","STRAWBERRIES FR","8,263","13,530","3,276","3,506","4,404","4,404","5,459","24","26","MX","0810100050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.3","0810100010","ORG STRAWBERS FR","3,438","2,844","2,211","1,086","785","785","717","-9","26","MX","0810100010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.4","0810400029","CULT BLUEBERS FR","840","935","289","325","701","701","432","-38","26","MX","0810400029",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.5","0810904500","FRUITS, FRS, NES","115","313","254","553","497","96","339","255","26","MX","0810904500",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.6","0810700000","PERSIMMON, FRESH","335","534","453","408","242","8","62","719","26","MX","0810700000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.7","0810205000","BERRIES NESOI","1,355","1,409","61","135","139","139","0","","26","MX","0810205000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.8","0810400050","CRANBERRY,NES,FR","57","70","64","61","96","60","0","","26","MX","0810400050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.9","0810902700","OTR FR BER,TAM","65","20","0","13","57","24","27","15","26","MX","0810902700",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.10","0803100000","PLANTAINS, F/D","61","0","0","0","0","0","0","","26","MX","0803100000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.11","0804300000","PINEAPPLES,FR/DR","9","0","0","0","0","0","0","","26","MX","0804300000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.12","0804400000","AVOCADOS,FR/DRD","0","0","4","0","0","0","0","","26","MX","0804400000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.13","0804500000","GV,MNG,MNGST F/D","0","95","296","112","0","0","0","","26","MX","0804500000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.14","0810202000","ORG BERRIES","137","36","0","0","0","0","0","","26","MX","0810202000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.15","0810400024","FRSH WILD BLUEBR","263","354","30","0","0","0","208","","26","MX","0810400024",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.16","0810400026","ORG CULT BLUEBER","0","11","193","0","0","0","0","","26","MX","0810400026",
"1","NOGALES, ARIZ.","1","Mexico","1.1.3.17","0810600000","DURIANS, FRESH","0","0","0","0","0","0","4","","26","MX","0810600000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.4","","Fresh Melons","2,719","3,155","3,086","1,482","2,887","2,887","3,147","9","26","MX","0715AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.4.1","0807191500","CANTALOUPES,FRSH","2,094","2,394","2,575","1,344","2,671","2,671","2,536","-5","26","MX","0807191500",
"1","NOGALES, ARIZ.","1","Mexico","1.1.4.2","0807199000","MELON,NESOI,FRSH","562","741","477","128","137","137","611","346","26","MX","0807199000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.4.3","0807111000","ORG WATERMELON","16","19","24","10","79","79","0","","26","MX","0807111000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.4.4","0807119000","WATERMELON NESOI","47","0","10","0","0","0","0","","26","MX","0807119000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5","","Fresh Fruits, Citrus","778","617","970","855","1,464","1,464","2,197","50","26","MX","0701AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.1","0805210090","MAND FR DR NESOI","68","76","396","199","646","646","875","36","26","MX","0805210090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.2","0805502050","LEMONS FR/D","212","222","199","144","408","408","691","69","26","MX","0805502050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.3","0805100065","ORANGES NES FR/D","376","285","336","386","374","374","486","30","26","MX","0805100065",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.4","0805210010","TANGERINES,FRESH","63","0","0","0","29","29","0","","26","MX","0805210010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.5","0805100020","TEMPLES, FRESH","42","22","26","126","7","7","72","892","26","MX","0805100020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.6","0805100045","ORG ORANGES FR/D","0","0","0","0","0","0","5","","26","MX","0805100045",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.7","0805220000","CLEM FR DR NESOI","0","0","14","0","0","0","0","","26","MX","0805220000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.8","0805290000","WILK FR DR NESOI","7","0","0","0","0","0","0","","26","MX","0805290000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.9","0805400010","ORG GRAPEFRUIT","10","6","0","0","0","0","6","","26","MX","0805400010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.10","0805400050","GRAPEFRUIT,FRESH","0","5","0","0","0","0","0","","26","MX","0805400050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.5.11","0805505090","LIMES, FD","0","0","0","0","0","0","62","","26","MX","0805505090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6","","Fruit, Prep, Misc","54","36","106","1,052","492","471","792","68","26","MX","0730AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.1","2008997552","FT/ED,PL/PT,P/PS","10","24","70","896","415","402","752","87","26","MX","2008997552",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.2","1106300000","FLOUR,MEAL,POWDR","11","9","21","9","34","34","0","","26","MX","1106300000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.3","2006005550","FR/NUT/FR-PEEL,P","32","0","0","0","21","13","33","157","26","MX","2006005550",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.4","2007998000","FR.NUT PASTE/PUR","0","0","0","78","16","16","0","","26","MX","2007998000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.5","2007999000","JAM/FR JELLY/MAR","0","3","16","0","7","7","7","-5","26","MX","2007999000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.6","2007100010","HMGNZED ORG PR","0","0","0","19","0","0","0","","26","MX","2007100010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.7","2007911000","CT FRT PSTS/PURE","0","0","0","19","0","0","0","","26","MX","2007911000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.6.8","2008972550","FRT MIX,P.CEREAL","0","0","0","31","0","0","0","","26","MX","2008972550",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7","","Fruit, Processed","408","569","515","139","148","138","465","237","26","MX","0725AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.1","2008600060","CHERRY,TRT,PR,PS","0","6","4","13","58","52","46","-11","26","MX","2008600060",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.2","2008930000","CRANBERY PRP/PRS","13","11","0","49","37","37","339","817","26","MX","2008930000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.3","2008800000","STRAWBERRY,PR/PS","18","34","8","8","19","15","0","","26","MX","2008800000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.4","2008974000","FRT MIX,P.PS,OTH","0","4","3","0","15","15","63","311","26","MX","2008974000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.5","2008200000","PINEAPPLES,PR,PS","3","0","0","0","10","10","0","","26","MX","2008200000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.6","2008500000","APRICOT,PREP,PRS","0","0","0","0","4","4","0","","26","MX","2008500000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.7","2008600020","CHRY,MRSNG,PR,PS","374","494","490","66","3","3","3","19","26","MX","2008600020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.8","2008600040","CHERRY,SWT,PR,PS","0","15","10","0","3","3","8","208","26","MX","2008600040",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.9","0812100000","CHERRY,INED,PRES","0","6","0","0","0","0","0","","26","MX","0812100000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.10","2008309000","CTR FR,ETC,PR,PS","0","0","0","0","0","0","6","","26","MX","2008309000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.7.11","2008991810","CAN WILD BLUEBRY","0","0","0","3","0","0","0","","26","MX","2008991810",
"1","NOGALES, ARIZ.","1","Mexico","1.1.8","","Fruit Juices","520","246","53","23","60","51","30","-42","26","MX","0740AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.8.1","2202993600","OT FORT JUC NCON","36","30","37","20","33","27","0","","26","MX","2202993600",
"1","NOGALES, ARIZ.","1","Mexico","1.1.8.2","2202993700","JUICE MIXTURES","113","165","7","0","17","17","25","42","26","MX","2202993700",
"1","NOGALES, ARIZ.","1","Mexico","1.1.8.3","2106905400","MIX JC CONC FORT","0","0","3","3","6","3","0","","26","MX","2106905400",
"1","NOGALES, ARIZ.","1","Mexico","1.1.8.4","2009899000","JUICE,NES,UNFRM","188","39","0","0","3","3","0","","26","MX","2009899000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.8.5","2009120000","OR J N/FZ BX<=20","0","0","3","0","0","0","0","","26","MX","2009120000",
