"Data generated on Friday, December 23, 2022 at 12:55:41 PM EST"
Area/Partners of Origin,,,,,January - December
And General  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars
,,,,,,,2017,2018,2019,2020,2021,Jan - Oct 2021,Jan - Oct 2022,,
,U.S. Custom Districts,,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code,
"1","NOGALES, ARIZ.","1","Mexico","1","","Horticultural Products","3,379,437","3,557,693","4,134,796","4,321,365","4,733,905","4,013,238","4,421,205","10","26","MX","0400GR",
"1","NOGALES, ARIZ.","1","Mexico","1.1","","Vegetables and Preparations","1,916,521","2,059,578","2,305,964","2,681,171","2,639,854","2,177,959","2,135,417","-2","26","MX","0744AG",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1","","Fresh Veg Exc Potato","1,867,573","2,009,101","2,261,990","2,623,193","2,574,596","2,121,782","2,084,669","-2","26","MX","0750AT",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.1","0709604085","BELL PEPPERS NES","186,719","225,680","251,406","256,999","302,326","247,416","194,195","-22","26","MX","0709604085",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.2","0709932050","SQUASH,FRSH/CHLD","0","103,666","293,067","376,613","267,280","212,951","225,455","6","26","MX","0709932050",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.3","0702002010","GREENHOUS TOM 3/","180,620","200,001","195,258","237,666","158,112","158,112","0","","26","MX","0702002010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.4","0709602090","CHILI PEPR OTHER","96,616","92,943","110,962","103,449","117,412","91,978","93,982","2","26","MX","0709602090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.5","0702006010","GRENHOUS TOM 11/","135,107","154,957","167,894","202,786","111,846","111,846","0","","26","MX","0702006010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.6","0707002000","CUCMBR,12/1-2/L","103,226","120,812","137,759","135,657","109,830","75,585","77,263","2","26","MX","0707002000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.7","0707005090","CU MY/JN-S/N OTH","74,693","67,898","75,052","77,244","95,816","67,151","37,285","-44","26","MX","0707005090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.8","0707004000","CUCMBR,3/1-4/30","58,897","71,181","77,459","81,628","83,683","83,683","97,553","17","26","MX","0707004000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.9","0702006065","ROMA TOM 11/15-2","50,358","62,555","62,491","86,551","83,400","66,767","44,534","-33","26","MX","0702006065",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.10","0709209090","ASPRS,NES,FR/CH","93,707","90,525","105,820","89,662","81,118","78,616","79,290","1","26","MX","0709209090",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.11","0709604025","BELL PEPPERS GH","85,198","93,937","84,887","72,066","80,623","72,157","39,087","-46","26","MX","0709604025",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.12","0702002065","ROMA TOM 3/15-7/","59,035","63,029","61,917","125,536","71,964","71,914","77,978","8","26","MX","0702002065",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.13","0705194000","LETTUCE11/1-5/31","10,323","8,163","26,755","56,124","71,424","44,362","73,322","65","26","MX","0705194000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.14","0709700000","SPINACH,NEW ZEAL","985","38","27,388","55,644","66,483","54,799","56,660","3","26","MX","0709700000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.15","0709994500","CORN,SWT,FR/CH","28,151","23,019","31,249","45,180","62,143","50,812","29,147","-43","26","MX","0709994500",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.16","0709604015","ORG BELL PEPP GH","11,135","28,569","51,639","47,932","56,167","47,572","24,349","-49","26","MX","0709604015",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.17","0708209010","FRESH BEANS, OTH","30,511","43,951","41,030","46,294","48,848","36,772","34,785","-5","26","MX","0708209010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.18","0705192000","LETTUCE6/1-10/31","0","104","18,946","36,185","45,357","45,357","44,651","-2","26","MX","0705192000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.19","0709604055","PEPPRS OTH GRNHS","22,517","28,772","47,379","40,601","43,338","35,008","35,454","1","26","MX","0709604055",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.20","0702006045","GR TM 11/15-2/28","21,436","31,217","31,249","33,278","41,392","29,491","25,607","-13","26","MX","0702006045",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.21","0704902000","CABBAGE,FR/CH","847","985","3,832","28,748","34,683","29,718","28,156","-5","26","MX","0704902000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.22","0709604095","PEPPERS OTH NES","37,011","38,697","40,292","36,667","33,919","28,107","16,231","-42","26","MX","0709604095",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.23","0702002045","GRP TOM 3/1-7/14","11,599","16,823","20,866","25,438","29,910","29,753","32,705","10","26","MX","0702002045",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.24","0704904020","BROCCOLI FRSH/CH","14,532","8,719","8,965","25,114","29,898","21,865","31,475","44","26","MX","0704904020",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.25","0702002031","GRHS TM NS 3/","0","0","0","0","28,298","24,441","51,797","112","26","MX","0702002031",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.26","0707005010","CU M/J-S/N GRNHS","24,552","24,912","24,371","28,204","26,806","20,351","8,636","-58","26","MX","0707005010",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.27","0709304000","EGGPLT,12/1-3/31","22,846","25,594","27,758","29,663","26,439","20,012","21,551","8","26","MX","0709304000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.28","0703104000","ONION/SHALL,F/CH","25,675","19,794","46,589","18,050","24,752","18,608","0","","26","MX","0703104000",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.29","0702002025","GRHS TM ROUND 3/","0","0","0","0","23,951","20,327","57,980","185","26","MX","0702002025",
"1","NOGALES, ARIZ.","1","Mexico","1.1.1.30","0702006031","GRHS TM NS 11/","0","0","0","0","22,484","0","32,400","","26","MX","0702006031",
